candidate,control,flu_delta_mean,flu_delta_sd,admissions_delta_mean,admissions_delta_sd
anchor,baseline,-0.17253047403818914,0.025333751975513814,-0.1919856986575628,0.04705185725758973
state_us,anchor,-0.0003154215891625715,0.007178373017322703,0.021622808973361662,0.02459883897492071
residual2,anchor,-0.07065350257534393,0.033750147979167186,-0.1058203500515877,0.0267804433349921
latent32,anchor,-0.02152634469980112,0.054060053786202864,-0.10205211820561037,0.021258796330113194
residual2_z32,residual2,0.07725083443269636,0.07212202597581518,0.10828323420721209,0.032703993083297245
residual2_z32,latent32,0.028123676557153532,0.05554202927141375,0.10451500236123475,0.022049791332370224
mlp_h8,mlp_h12,0.01684073858338368,0.05907492944802608,0.03284324821569188,0.10676694892464703
mlp_h12,anchor,-0.010115273795902083,0.03162118331766564,-0.03255352123430303,0.03822443359911998
mlp_h26,mlp_h12,0.08682902221332511,0.07965625395636627,0.045366865174351845,0.057610439936448474
balanced,anchor,-0.0048473904350178065,0.07520833441624103,-0.06444244626006475,0.11433932791514308
flu_only,anchor,0.02064253675010652,0.06745931761456382,0.16837419665787232,0.19725613117715657
conv_h12,anchor,-0.07147912347447431,0.003919669481764249,-0.11093726053493447,0.015596909540092579
mlp_h26_dynamics,mlp_h26,0.06398216560302572,0.09427666906214727,0.03826136419758278,0.07266060185913226
conv_h26,mlp_h26_dynamics,-0.09167327323402959,0.04211597396663136,-0.07376824723637831,0.051900351071440094
